Mg,Al,Ti,V,Mn,Fe,Cu,Zn,Y,Nb,La,Ce,Zr,Ta
0.000,0.000,89.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,475.009,0.000,0.000,82.474,1536.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,81.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1377.631,103.374,0.000,0.000,7641.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.504,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,930.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,817.258,110.190,0.000,0.000,1694.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,939.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,207.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,3619.963,683.493,0.000,282.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1855.773,26311.358,553.707,0.000,565.524,34756.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1180.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
447.708,3027.254,347.196,0.000,137.441,7899.977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,228.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
487.907,1841.290,145.974,0.000,139.839,4216.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,792.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,441.089,0.000,0.000,0.000,1612.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1218.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
505.773,4403.484,0.000,0.000,194.729,10177.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
831.827,11660.920,952.834,0.000,706.100,46068.300,0.000,0.000,0.000,38.202,0.000,0.000,0.000,0.000
1169.328,10101.750,1213.676,0.000,734.597,0.000,0.000,0.000,0.000,30.732,0.000,0.000,0.000,0.000
695.041,4365.608,0.000,0.000,391.438,12473.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,716.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,462.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,194.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,377.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1219.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,319.796,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
